iter	Passed	Remaining
847	4636	831
848	4640	825
849	4643	819
850	4646	813
851	4650	807
852	4653	801
853	4657	796
854	4660	790
855	4664	784
856	4667	778
857	4670	773
858	4675	767
859	4678	761
860	4681	755
861	4685	750
862	4689	744
863	4693	738
864	4697	733
865	4701	727
866	4705	721
867	4708	716
868	4713	710
869	4716	704
870	4719	699
871	4722	693
872	4725	687
873	4729	681
874	4732	676
875	4735	670
876	4739	664
877	4743	659
878	4746	653
879	4750	647
880	4754	642
881	4757	636
882	4761	630
883	4764	625
884	4767	619
885	4771	613
886	4775	608
887	4778	602
888	4781	597
889	4785	591
890	4788	585
891	4791	580
892	4794	574
893	4797	568
894	4800	563
895	4803	557
896	4806	551
897	4808	546
898	4811	540
899	4814	534
900	4817	529
901	4820	523
902	4823	518
903	4826	512
904	4829	506
905	4832	501
906	4835	495
907	4838	490
908	4842	484
909	4847	479
910	4863	475
911	4869	469
912	4877	464
913	4880	459
914	4883	453
915	4886	448
916	4890	442
917	4898	437
918	4903	432
919	4908	426
920	4913	421
921	4919	416
922	4927	411
923	4959	407
924	4968	402
925	4985	398
926	4997	393
927	5001	388
928	5009	382
929	5014	377
930	5019	372
931	5025	366
932	5036	361
933	5055	357
934	5063	352
935	5086	347
936	5097	342
937	5110	337
938	5117	332
939	5141	328
940	5156	323
941	5178	318
942	5191	313
943	5200	308
944	5220	303
945	5231	298
946	5238	293
947	5246	287
948	5252	282
949	5258	276
950	5263	271
951	5275	265
952	5280	260
953	5285	254
954	5289	249
955	5294	243
956	5297	238
957	5301	232
958	5305	226
959	5309	221
960	5313	215
961	5317	210
962	5321	204
963	5324	198
964	5328	193
965	5332	187
966	5337	182
967	5342	176
968	5346	171
969	5350	165
970	5355	159
971	5358	154
972	5364	148
973	5368	143
974	5372	137
975	5376	132
976	5382	126
977	5388	121
978	5392	115
979	5396	110
980	5400	104
981	5404	99
982	5408	93
983	5413	88
984	5418	82
985	5421	76
986	5426	71
987	5429	65
988	5433	60
989	5437	54
990	5440	49
991	5444	43
992	5448	38
993	5452	32
994	5456	27
995	5460	21
996	5463	16
997	5467	10
998	5471	5
999	5475	0
